category,simple
"City Operations, Operations & Launch",Operations
"Community Operations, Global Community Operations",Operations
Engineering,Engineering
"City Marketing, Local Marketing",Marketing
"Finance & Strategy, Finance & Accounting",Finance
Growth Marketing,Marketing
Product,Product
"Central Marketing, Marketing",Marketing
Design,Design
Legal,Legal
"People, People & Places",Human Resources
"Local Marketing, Marketing",Marketing
"Data Science, Engineering",Engineering
Communications,Communications
"Tax & Treasury, Finance & Accounting",Finance
"Business Development, Business",Business
"Accounting, Finance & Accounting",Finance
Public Policy,Communications
"Recruiting, People & Places",Human Resources
"Sales, Business & Sales",Business
"Advanced Technologies Center, Engineering",Engineering
"People, People Operations",Human Resources
"Tech Services, Engineering",Engineering
"Workplace, People & Places",Human Resources
"Engineering Security, Safety & Security",Engineering
"Xchange Leasing, Rentals & Leasing",Leasing
Business,Business
"Recruiting, People Operations",Human Resources
NA,Unknown
"Investigations & Intelligence, Safety & Security",Safety & Security
"Maps, Engineering",Engineering
"Business Development, Business & Sales",Business
"Advanced Technologies, Engineering",Engineering
"Procurement, Finance & Accounting",Finance
"Trust & Safety, Safety & Security",Safety & Security
"Insurance, Finance & Accounting",Finance
"Workplace, People Operations",Human Resources
"Physical Security, Safety & Security",Safety & Security
"Launch, Operations & Launch",Operations
"Business, Business & Sales",Business
"Finance Technology, Finance & Accounting",Finance
"Data Infrastructure, Engineering",Engineering
"Design, University",Other
"Engineering, University",Other
"U4B, Business",Leasing
"City Rentals, Rentals & Leasing",Other
"Operations, University",Other
"Data Science, University",Other
"Engineering Security, University",Other
